"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"World"	900	7826847.836	8334931.469	8841237.034	9322593.127	9800765.502	10294503.159	10809994.871	11338664.567	11869294.024	12400397.118	12941020.76	13501027.343	14081652.093	14681600.86	15296614.369	15921135.964	16553844.513
"Africa"	903	1347879.371	1527763.904	1725931.578	1939789.061	2170936.393	2419595.859	2684769.368	2963534.654	3254208.906	3556350.242	3868101.627	4188796.634	4515902.397	4848765.803	5184311.858	5519849.422	5854186.197
"Burundi"	108	13081.627	15112.947	17256.426	19568.81	22208.439	25148.342	28309.655	31562.803	35001.749	38646.448	42519.334	46631.315	50803.837	55092.249	59319.823	63593.448	67927.237
"Comoros"	174	888.621	993.66	1105.583	1222.473	1343.551	1471.422	1604.419	1741.343	1880.763	2017.831	2155.997	2293.382	2429.373	2566.477	2698.495	2827.607	2954.443
"Djibouti"	262	955.774	1029.681	1116.725	1204.988	1287.906	1356.074	1434.279	1513.634	1587.554	1642.797	1706.373	1770.976	1830.074	1886.742	1955.707	2027.086	2093.881
"Eritrea"	232	5915.91	6647.376	7454.498	8332.664	9309.941	10346.931	11469.891	12589.867	13723.185	14844.8	15980.985	17177.136	18345.144	19495.968	20632.135	21709.705	22745.132
"Ethiopia"	231	112968.282	128024.419	144278.545	161222.957	178980.339	197613.876	216712.809	235988.018	255769.367	275269.267	294560.881	313312.891	331769.869	350070.868	367844.311	385033.242	401345.509
"Kenya"	404	52261.178	58941.102	66118.489	73629.951	81430.918	89493.859	97827.496	106272.735	114558.131	122792.191	130990.638	138979.62	146672.722	154033.016	160997.945	167634.629	173910.652
"Madagascar"	450	28021.112	32412.332	37329.491	42672.572	48517.995	54992.08	62167.079	69978.333	78296.567	87083.752	96405.613	106264.706	116517.163	127110.194	138015.304	149173.376	160573.313
"Malawi"	454	20091.03	23530.938	27518.395	31990.827	36937.776	42315.264	48394.603	54995.393	61913.623	69608.088	77578.789	85827.114	94297.164	103581.694	113052.454	122554.754	132934.01
"Mauritius"	480	1291.745	1307.075	1316.592	1317.237	1303.946	1282.754	1260.896	1243.252	1227.682	1212.724	1196.519	1178.801	1163.201	1151.625	1144.766	1140.432	1137.247
"Mayotte"	175	273.317	309.816	350.74	394.991	440.795	488.139	537.093	586.852	637.626	691.11	746.519	802.66	859.441	913.962	968.776	1025.017	1080.11
"Mozambique"	508	32144.626	36906.354	42428.639	48482.606	55162.908	62357.79	70120.001	78342.36	87197.696	96320.141	105832.24	115864.056	126264.017	136895.152	147628.808	158628.626	169519.157
"Reunion"	638	898.478	936.302	975.112	1009.453	1039.801	1065.031	1087.959	1107.156	1125.869	1145.279	1164.088	1184.223	1205.557	1226.976	1248.093	1267.879	1285.765
"Rwanda"	646	13078.733	14699.359	16520.988	18498.829	20513.117	22494.183	24522.56	26625.353	28834.455	31031.302	33075.422	34961.067	36734.507	38250.694	39758.505	41297.055	42640.452
"Seychelles"	690	100.025	103.409	106.63	109.441	112.51	115.277	117.81	120.328	122.861	125.799	128.858	132.205	135.89	139.612	143.392	147.223	151.372
"Somalia"	706	12629.105	14956.117	17554.855	20462.604	23737.085	27428.037	31460.575	35540.312	40045.173	44849.174	49778.803	55542.463	60918.868	66585.93	72644.059	78335.678	83645.347
"South Sudan"	728	14440.403	16638.274	19010.866	21519.256	24130.583	26923.023	29923.091	33034.709	36358.52	39829.257	43488.295	47204.574	51111.298	55042.855	58916.775	62610.004	66414.926
"Uganda"	800	45869.484	53709.466	62497.947	72085.821	82417.876	93466.813	105221.109	117491.076	130271.085	143496.376	156991.919	170605.566	184337.507	198173.978	211721.748	224970.092	237965.731
"United Republic of Tanzania"	834	62870.384	73960.187	86934.058	101721.005	118545.361	137465.652	158655.737	181994.078	207457.084	234947.536	264603.104	296237.36	329889.167	365763.811	403386.821	442634.506	483259.425
"Zambia"	894	18878.456	21910.225	25344.614	29132.727	33274.089	37818.239	42787.256	48122.529	53719.007	59651.89	65900.139	72512.863	79435.05	86520.059	93852.597	101297.209	108846.901
"Zimbabwe"	716	17366.678	19172.736	21079.215	23051.49	25177.033	27411.228	29705.435	31997.926	34226.692	36402.162	38569.196	40752.975	42875.278	45055.386	47141.342	49204.032	51211.158
